Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Time(s)
0	101.7430	99.2550	0.4000	1	3.56E-02
0	101.2290	98.9540	0.4000	1	4.66E-02
0	100.6940	98.7680	0.4000	1	4.43E-02
0	100.1210	98.6880	0.4000	1	4.53E-02
0	99.4980	98.7180	0.4000	1	4.88E-02
0	99.5290	99.1570	0.4000	1	3.44E-02
0	100.0890	99.1260	0.4000	1	4.39E-02
0	100.6060	99.1980	0.4000	1	4.08E-02
0	101.0340	99.3470	0.4000	1	3.55E-02
0	101.5240	99.6370	0.4000	1	4.45E-02
0	101.8970	99.9990	0.4000	1	4.07E-02
0	101.5180	100.3540	0.4000	1	4.06E-02
0	101.0470	100.6460	0.4000	1	4.34E-02
0	100.6040	100.8010	0.4000	1	3.67E-02
0	100.0050	100.8790	0.4000	1	4.73E-02
0	96.6860	100.6410	0.4000	1	2.60E-01
0	96.7310	100.5860	0.4000	1	5.56E-03
0	96.8290	100.1800	0.4000	1	3.27E-02
0	96.7970	99.6160	0.4000	1	4.42E-02
0	96.6830	99.3600	0.4000	1	2.19E-02
0	99.3100	99.1720	0.4000	1	2.06E-01
0	99.5600	99.5950	0.4000	1	3.84E-02
0	99.9750	99.5650	0.4000	1	3.25E-02
0	100.3130	99.5860	0.4000	1	2.65E-02
0	100.8250	99.7340	0.4000	1	4.17E-02
0	101.2660	99.9940	0.4000	1	4.00E-02
0	101.0800	100.1320	0.4000	1	1.81E-02
0	100.7920	100.2780	0.4000	1	2.53E-02
0	100.2410	100.4230	0.4000	1	4.46E-02
0	99.5600	100.4070	0.4000	1	5.33E-02
0	99.4620	100.3800	0.4000	1	7.95E-03
0	99.3640	100.3530	0.4000	1	7.95E-03
0	99.2660	100.3260	0.4000	1	7.95E-03
0	99.1680	100.2990	0.4000	1	7.95E-03
0	98.5390	100.2770	0.4000	1	4.92E-02
0	97.9100	100.2540	0.4000	1	4.92E-02
0	97.2810	100.2310	0.4000	1	4.92E-02
0	97.2820	99.7780	0.4000	1	3.54E-02
0	97.5110	99.7610	0.4000	1	1.80E-02
0	98.0630	99.7420	0.4000	1	4.32E-02
0	98.6160	99.7220	0.4000	1	4.33E-02
0	99.1680	99.7020	0.4000	1	4.32E-02
0	99.2580	99.6780	0.4000	1	7.29E-03
0	99.3480	99.6530	0.4000	1	7.31E-03
0	99.4090	99.7400	0.4000	1	8.31E-03
0	99.4690	99.8270	0.4000	1	8.27E-03
0	99.5290	99.9140	0.4000	1	8.27E-03
0	99.5890	100.0010	0.4000	1	8.27E-03
0	100.2130	100	0.4000	1	4.88E-02
0	100.2130	100	0.4500	1	3.85E-04
0	95.9820	99.6770	0.4500	1	3.26E-02
0	95.8410	99.6050	0.4500	1	1.21E-02
0	94.8600	99.6050	0.4500	1	7.53E-02
0	94.8830	98.7440	0.4500	1	6.61E-02
0	95.0020	98.6820	0.4500	1	1.03E-02
0	100.0440	98.3120	0.4500	1	3.88E-01
0	100.7820	98.4140	0.4500	1	5.72E-02
0	101.2960	98.5760	0.4500	1	4.13E-02
0	101.7920	98.8420	0.4500	1	4.32E-02
0	102.1980	99.1470	0.4500	1	3.90E-02
0	102.6130	99.5760	0.4500	1	4.58E-02
0	102.8880	100.0140	0.4500	1	3.97E-02
0	102.6080	100.4340	0.4500	1	3.87E-02
0	102.2080	100.8540	0.4500	1	4.45E-02
0	101.7650	101.1820	0.4500	1	4.23E-02
0	101.2200	101.4470	0.4500	1	4.65E-02
0	100.5720	101.6300	0.4500	1	5.17E-02
0	99.9930	101.6850	0.4500	1	4.46E-02
0	95.8050	101.3770	0.4500	1	3.22E-01
0	94.9410	101.3010	0.4500	1	6.65E-02
0	94.8600	101.1840	0.4500	1	1.09E-02
0	94.8590	100.3950	0.4500	1	6.05E-02
0	95.8410	100.3950	0.4500	1	7.53E-02
0	96.0180	100.3040	0.4500	1	1.53E-02
0	96.0600	100	0.4500	1	2.35E-02
0	96.0210	99.7150	0.4500	1	2.21E-02
0	95.1510	100.6870	0.4500	1	1.00E-02
0	95.3330	100.6860	0.4500	1	1.40E-02
0	95.8740	100.6950	0.4500	1	4.15E-02
0	96.0440	100.6220	0.4500	1	1.42E-02
0	96.2140	100.5500	0.4500	1	1.42E-02
0	96.3130	100.4270	0.4500	1	1.21E-02
0	96.3790	100.2260	0.4500	1	1.62E-02
0	96.3900	99.8420	0.4500	1	2.95E-02
0	96.3140	99.5760	0.4500	1	2.12E-02
0	96.2050	99.4480	0.4500	1	1.29E-02
0	96.0100	99.3760	0.4500	1	1.59E-02
0	95.8140	99.3050	0.4500	1	1.60E-02
0	95.1520	99.3130	0.4500	1	5.08E-02
0	95.1530	98.9630	0.4500	1	2.69E-02
0	95.8000	98.9240	0.4500	1	4.97E-02
0	96.0560	98.9200	0.4500	1	1.96E-02
0	96.3120	98.9160	0.4500	1	1.96E-02
0	100.1010	98.6510	0.4500	1	2.91E-01
0	100.7170	98.7370	0.4500	1	4.77E-02
0	101.2680	98.9300	0.4500	1	4.48E-02
0	101.7760	99.2270	0.4500	1	4.51E-02
0	102.1470	99.5470	0.4500	1	3.76E-02
0	102.5050	99.9950	0.4500	1	4.40E-02
0	102.3920	100.1640	0.4500	1	1.56E-02
0	102.0360	100.5560	0.4500	1	4.06E-02
0	101.5890	100.9020	0.4500	1	4.34E-02
0	101.1090	101.1370	0.4500	1	4.10E-02
0	100.5050	101.3070	0.4500	1	4.81E-02
0	99.9940	101.3550	0.4500	1	3.94E-02
0	96.3100	101.0980	0.4500	1	2.83E-01
0	95.8420	101.0780	0.4500	1	3.59E-02
0	95.1520	101.0370	0.4500	1	5.30E-02
0	95.1510	100.9060	0.4500	1	1.01E-02
0	96.7500	99.5160	0.4500	1	1.63E-02
0	96.8290	99.8420	0.4500	1	2.57E-02
0	96.7970	100.3620	0.4500	1	4.00E-02
0	96.7310	100.5630	0.4500	1	1.62E-02
0	96.6450	100.6680	0.4500	1	1.04E-02
0	99.9950	100.9150	0.4500	1	2.58E-01
0	100.6350	100.8310	0.4500	1	4.95E-02
0	101.0900	100.6690	0.4500	1	3.71E-02
0	101.5530	100.3820	0.4500	1	4.18E-02
0	101.9610	99.9990	0.4500	1	4.29E-02
0	101.8190	99.8380	0.4500	1	1.65E-02
0	101.3660	99.4820	0.4500	1	4.42E-02
0	100.9520	99.2710	0.4500	1	3.57E-02
0	100.4090	99.1220	0.4500	1	4.32E-02
0	99.9300	99.0910	0.4500	1	3.68E-02
0	96.6400	99.3320	0.4500	1	2.53E-01
0	97.2930	99.7620	0.4500	1	6.00E-02
0	97.5440	99.7440	0.4500	1	1.93E-02
0	98.1160	99.7230	0.4500	1	4.39E-02
0	98.6880	99.7020	0.4500	1	4.39E-02
0	98.7860	99.6750	0.4500	1	7.80E-03
0	98.8840	99.6480	0.4500	1	7.80E-03
0	98.9820	99.6210	0.4500	1	7.80E-03
0	99.0800	99.5940	0.4500	1	7.80E-03
0	100.0420	99.5280	0.4500	1	7.40E-02
0	100.5420	99.5980	0.4500	1	3.87E-02
0	100.8770	99.7170	0.4500	1	2.73E-02
0	101.3350	99.9970	0.4500	1	4.12E-02
0	101.0620	100.1870	0.4500	1	2.55E-02
0	100.5450	100.4010	0.4500	1	4.29E-02
0	99.9950	100.4740	0.4500	1	4.26E-02
0	99.0800	100.4070	0.4500	1	7.04E-02
0	98.9820	100.3800	0.4500	1	7.80E-03
0	98.8840	100.3530	0.4500	1	7.80E-03
0	98.7860	100.3260	0.4500	1	7.80E-03
0	98.6870	100.2990	0.4500	1	7.87E-03
0	97.9900	100.2730	0.4500	1	5.35E-02
0	97.2930	100.2470	0.4500	1	5.35E-02
0	97.2930	99.9820	0.4500	1	2.03E-02
0	99.1090	100	0.4500	1	1.40E-02
0	99.4050	100	0.4500	1	2.27E-02
0	99.7010	100	0.4500	1	2.27E-02
0	100.2170	99.9990	0.4500	1	3.96E-02
0	100.2170	99.9990	0.5000	1	3.85E-04
0	95.9830	99.7210	0.5000	1	3.26E-02
0	95.8400	99.6490	0.5000	1	1.20E-02
0	94.8370	99.6490	0.5000	1	7.50E-02
0	94.8600	98.7260	0.5000	1	6.91E-02
0	94.9790	98.6560	0.5000	1	1.03E-02
0	100.0550	98.2760	0.5000	1	3.81E-01
0	100.8020	98.3810	0.5000	1	5.64E-02
0	101.3410	98.5540	0.5000	1	4.24E-02
0	101.8430	98.8260	0.5000	1	4.27E-02
0	102.2420	99.1290	0.5000	1	3.75E-02
0	102.6680	99.5660	0.5000	1	4.57E-02
0	102.9470	100.0100	0.5000	1	3.92E-02
0	102.6200	100.4880	0.5000	1	4.33E-02
0	102.1720	100.9330	0.5000	1	4.72E-02
0	101.6710	101.2750	0.5000	1	4.54E-02
0	101.0500	101.5480	0.5000	1	5.07E-02
0	100.4900	101.6850	0.5000	1	4.31E-02
0	99.9830	101.7210	0.5000	1	3.80E-02
0	95.8010	101.4060	0.5000	1	3.14E-01
0	94.9090	101.3220	0.5000	1	6.70E-02
0	94.8370	101.2100	0.5000	1	9.96E-03
0	94.8360	100.3510	0.5000	1	6.43E-02
0	95.8410	100.3510	0.5000	1	7.52E-02
0	96.0180	100.2610	0.5000	1	1.49E-02
0	96.0600	100.0010	0.5000	1	1.97E-02
